Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
freecodecamp,FlawFinder,CWE-352,1,Yes
freecodecamp,FlawFinder,CWE-79,1,Yes
freecodecamp,FlawFinder,CWE-918,1,Yes
freecodecamp,Semgrep,CWE-1333,3,No
freecodecamp,Semgrep,CWE-134,1,No
freecodecamp,Semgrep,CWE-22,52,Yes
freecodecamp,Semgrep,CWE-319,2,No
freecodecamp,Semgrep,CWE-346,1,No
freecodecamp,Semgrep,CWE-352,1,Yes
freecodecamp,Semgrep,CWE-601,1,No
freecodecamp,Semgrep,CWE-78,4,Yes
freecodecamp,Semgrep,CWE-79,19,Yes
freecodecamp,Semgrep,CWE-798,9,Yes
freecodecamp,Semgrep,CWE-89,1,Yes
freecodecamp,Semgrep,CWE-918,1,Yes
react,FlawFinder,CWE-352,1,Yes
react,FlawFinder,CWE-79,1,Yes
react,FlawFinder,CWE-918,1,Yes
react,Semgrep,CWE-116,3,No
react,Semgrep,CWE-1333,22,No
react,Semgrep,CWE-134,28,No
react,Semgrep,CWE-22,153,Yes
react,Semgrep,CWE-319,22,No
react,Semgrep,CWE-345,11,No
react,Semgrep,CWE-352,9,Yes
react,Semgrep,CWE-353,86,No
react,Semgrep,CWE-601,1,No
react,Semgrep,CWE-78,28,Yes
react,Semgrep,CWE-79,236,Yes
react,Semgrep,CWE-798,2,Yes
react,Semgrep,CWE-89,1,Yes
react,Semgrep,CWE-915,6,No
react,Semgrep,CWE-918,1,Yes
react,Semgrep,CWE-95,2,No
tensorflow,Bandit,CWE-703,1252,No
tensorflow,Bandit,CWE-78,9,Yes
tensorflow,Bandit,CWE-798,5,Yes
tensorflow,FlawFinder,CWE-352,1,Yes
tensorflow,FlawFinder,CWE-79,1,Yes
tensorflow,FlawFinder,CWE-918,1,Yes
tensorflow,Semgrep,CWE-20,2,Yes
tensorflow,Semgrep,CWE-22,2,Yes
tensorflow,Semgrep,CWE-250,1,No
tensorflow,Semgrep,CWE-276,1,Yes
tensorflow,Semgrep,CWE-319,6,No
tensorflow,Semgrep,CWE-327,6,No
tensorflow,Semgrep,CWE-330,2,No
tensorflow,Semgrep,CWE-352,1,Yes
tensorflow,Semgrep,CWE-353,12,No
tensorflow,Semgrep,CWE-470,1,No
tensorflow,Semgrep,CWE-502,44,Yes
tensorflow,Semgrep,CWE-706,23,No
tensorflow,Semgrep,CWE-78,11,Yes
tensorflow,Semgrep,CWE-79,2,Yes
tensorflow,Semgrep,CWE-89,1,Yes
tensorflow,Semgrep,CWE-918,1,Yes
tensorflow,Semgrep,CWE-926,4,No
tensorflow,Semgrep,CWE-939,6,No
tensorflow,Semgrep,CWE-95,12,No
tensorflow,Semgrep,CWE-96,1,No
